0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:34 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [26/Aug/2023:01:50:35 +0530] "POST /CradleOfLife/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:12:02 +0530] "GET /CradleOfLife/pages/home.jsp HTTP/1.1" 200 3648
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:12:02 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:12:31 +0530] "GET /CradleOfLife/ HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:12:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:12:50 +0530] "GET /CradleOfLife/pages/home.jsp HTTP/1.1" 200 3648
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:12:51 +0530] "GET /CradleOfLife/theme/img/logo.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:12:51 +0530] "GET /CradleOfLife/theme/img/favicon.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:13:12 +0530] "GET /CradleOfLife/pages/donation.jsp HTTP/1.1" 500 2810
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:13:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:13:29 +0530] "GET /CradleOfLife/pages/transactions.jsp HTTP/1.1" 500 2805
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:13:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:13:45 +0530] "GET /CradleOfLife/tiles/footer.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [26/Aug/2023:02:13:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
